rank,level,server,guild,character
1,102,Eda3,わっしょい,きゅあじい
2,101,Eda3,わっしょい,魔法少女かおる一
3,100,Eda3,わっしょい,魔法少女首領閣下
4,100,Virba2,,みんな元気でね
5,100,Eda4,ぱてぃすりーず,激辛Sugar
6,100,Eda3,M2O,だいきん
7,100,Eda3,わっしょい,ぽめまる一
8,99,Eda3,M2O,がっつり亀太郎
9,99,Eda4,ぱてぃすりーず,三不粘さん
10,99,Virba2,Oblivion,wasabi5
11,99,Eda4,なみだふくよ,歩世
12,99,Eda4,なみだふくよ,悪迦那奈
13,99,Virba2,Oblivion,楓渚
14,99,Eda4,なみだふくよ,飛笑笑流
15,99,Virba2,Oblivion,佐天涙子のよっ友
16,98,Eda3,M2O,チェインドベル
17,98,Eda3,わっしょい,魔法少女N
18,98,Eda4,なみだふくよ,裸喜詐斗恩
19,98,Eda4,ぱてぃすりーず,発酵する生ゴミ
20,98,Virba4,朧桜,もんすーん
21,98,Virba4,血盟騎士団,えるむ
22,98,Eda4,ぱてぃすりーず,解放のぷりん
23,98,Eda4,ぱてぃすりーず,パンニャコッタ
24,98,Eda4,ぱてぃすりーず,大納言善哉
25,98,Eda2,5secret,ここちゃん
26,98,Eda3,わっしょい,きゅあすずこ
27,97,Eda4,なみだふくよ,疾流陀
28,97,Eda3,わっしょい,狐様は魔法少女
29,97,Eda3,わっしょい,sumibi
30,97,Virba3,月花町の安らげ荘,善良なノヴァ
31,97,Eda4,エス,きない
32,97,Virba2,Oblivion,元すもうぶ
33,97,Eda4,なみだふくよ,男男九二主
34,97,Eda4,なみだふくよ,曼陀
35,97,Eda4,なみだふくよ,二罰
36,97,Eda3,M2O,嶽ちゃんマン
37,97,Virba2,Oblivion,ざっこ
38,97,Virba2,Oblivion,のりちん
39,97,Virba2,Oblivion,桐ケ谷和人
40,97,Virba1,サーフィス,指宿
41,97,Eda3,わっしょい,ぎんぴー
42,97,Virba3,月花町の安らげ荘,ひまちゃん
43,97,Virba2,Oblivion,あまとぅー
44,97,Eda2,5secret,十らら十
45,97,Virba4,Harmony,駄馬頭琴
46,97,Eda2,5secret,へびちん
47,97,Virba3,,Qinte
48,97,Eda4,なみだふくよ,百々
49,97,Eda4,なみだふくよ,六茶
50,97,Eda4,,生ごみコンポスタ
51,97,Eda2,,ひろぽん
52,97,Eda3,わっしょい,魔法少女ゴリラ
53,97,Eda4,,食い逃げするゴミ
54,97,Eda3,わっしょい,マジカルパオーン
55,97,Virba4,朧桜,yuユタta
56,97,Eda4,なみだふくよ,蝶歩六爺
57,97,Virba2,Oblivion,牡羊座のシオン
58,97,Eda4,なみだふくよ,煌茶燦
59,97,Virba2,Oblivion,いぼぢん
60,97,Virba2,Oblivion,ーブロニキー
61,97,Eda4,なみだふくよ,びー先輩
62,97,Eda2,5secret,CHUMP
